offset,pre_x,pre_y,pre_z,post_x,post_y,post_z,scores,cleft_scores,segmentid_pre,segmentid_post,pre_svid,post_svid,pre_id,post_id,x,y,z,partner,Tags,flywire.id
179419351,584892,203416,81320,585004,203364,81320,694.035278320312,161,2660530240,3703358505,"=""80645604686615491""","=""80645604686602321""","=""720575940618976297""","=""720575940616046363""",584892,203416,81320,"=""720575940618976297""",FALSE,"="""""
179419403,585624,203184,81520,585548,203252,81520,1109.59790039062,140,3572214263,3703358505,"=""80715973430788078""","=""80715973430789539""","=""720575940613725708""","=""720575940616046363""",585624,203184,81520,"=""720575940613725708""",FALSE,"="""""
179578939,580168,212492,80800,580192,212384,80800,405.589996337891,158,0,3705914156,"=""80575373381371035""","=""80575373381380955""","=""720575940624804248""","=""720575940616046363""",580168,212492,80800,"=""720575940624804248""",TRUE,"="""""
179578978,580896,212012,80960,580792,211940,80960,23.1141204833984,86,2527458123,3705914166,"=""80575373381387615""","=""80575373381391001""","=""720575940628113292""","=""720575940616046363""",580896,212012,80960,"=""720575940628113292""",FALSE,"="""""
179578986,580988,212016,81120,580916,211940,81120,600.973754882812,19,2527458123,3705914166,"=""80575373381387615""","=""80575373381397184""","=""720575940628113292""","=""720575940616046363""",580988,212016,81120,"=""720575940628113292""",TRUE,"="""""
179579222,582708,212312,82280,582640,212380,82280,618.925720214844,140,2528097786,2268992762,"=""80645742125631228""","=""80645742125664456""","=""720575940628115084""","=""720575940616046363""",582708,212312,82280,"=""720575940628115084""",TRUE,"="""""
179579708,583696,211712,82120,583640,211628,82120,1048.25805664062,141,2791042904,2268992762,"=""80645742125670573""","=""80645742125635445""","=""720575940629359076""","=""720575940616046363""",583696,211712,82120,"=""720575940629359076""",TRUE,"="""""
179820009,586708,209216,81640,586832,209236,81640,302.962646484375,41,2791042904,3703358381,"=""80716042150278603""","=""80716042150291404""","=""720575940629359076""","=""720575940616046363""",586708,209216,81640,"=""720575940629359076""",FALSE,"="""""
179820040,586648,209052,81680,586696,209076,81720,196.247436523438,2,2791042904,3703358381,"=""80716042150287162""","=""80716042150291402""","=""720575940629359076""","=""720575940616046363""",586648,209052,81680,"=""720575940629359076""",FALSE,"="""""
179820047,586676,209060,81640,586640,209044,81760,72.1491012573242,2,2791042904,3703358381,"=""80716042150287169""","=""80716042150291402""","=""720575940629359076""","=""720575940616046363""",586676,209060,81640,"=""720575940629359076""",TRUE,"="""""
179843382,585624,208196,81600,585780,208164,81600,162.558135986328,144,2791042904,3703358381,"=""80716042150287003""","=""80716042150281300""","=""720575940629359076""","=""720575940616046363""",585624,208196,81600,"=""720575940629359076""",FALSE,"="""""
179843406,585556,208244,81720,585704,208224,81720,407.127502441406,46,0,3703358381,"=""80716042150294157""","=""80716042150281300""","=""720575940629359076""","=""720575940616046363""",585556,208244,81720,"=""720575940629359076""",TRUE,"="""""
179843427,585548,208256,81760,585668,208248,81760,24.9588088989258,17,0,3703358381,"=""80716042150294157""","=""80716042150281300""","=""720575940629359076""","=""720575940616046363""",585548,208256,81760,"=""720575940629359076""",FALSE,"="""""
182610630,577484,205536,70080,577472,205400,70080,548.972351074219,149,2528735655,3181941519,"=""80575235942061560""","=""80575235942052161""","=""720575940619059497""","=""720575940616046363""",577484,205536,70080,"=""720575940619059497""",FALSE,"="""""
183030643,583432,203452,70240,583512,203412,70240,391.157562255859,148,3181305219,3181305423,"=""80645604686233866""","=""80645604686259411""","=""720575940613725708""","=""720575940616046363""",583432,203452,70240,"=""720575940613725708""",TRUE,"="""""
183030682,583660,203288,70400,583596,203344,70400,248.163192749023,141,2791042904,3181305423,"=""80645604686234831""","=""80645604686259411""","=""720575940629359076""","=""720575940616046363""",583660,203288,70400,"=""720575940629359076""",TRUE,"="""""
205502113,592764,217308,82440,592656,217296,82440,693.821044921875,122,2791042904,3837714851,"=""80786548333461819""","=""80786548333460616""","=""720575940629359076""","=""720575940616046363""",592764,217308,82440,"=""720575940629359076""",FALSE,"="""""
205956596,592448,216892,83520,592372,216980,83560,595.515380859375,143,2792324193,3837714851,"=""80786548399894861""","=""80786548399899129""","=""720575940616852894""","=""720575940616046363""",592448,216892,83520,"=""720575940616852894""",FALSE,"="""""
205961290,582440,214948,82800,582404,214844,82840,969.192504882812,138,2528735655,3837068243,"=""80645742191998342""","=""80645742192042091""","=""720575940619059497""","=""720575940616046363""",582440,214948,82800,"=""720575940619059497""",TRUE,"="""""
205961338,582272,214740,82920,582264,214848,82880,308.849609375,141,3572214263,2268992762,"=""80645742192066270""","=""80645742192049481""","=""720575940613725708""","=""720575940616046363""",582272,214740,82920,"=""720575940613725708""",TRUE,"="""""
205961453,583112,214192,83480,583096,214144,83400,91.0273361206055,41,2527458123,3836428693,"=""80645742192084947""","=""80645742192063755""","=""720575940628113292""","=""720575940616046363""",583112,214192,83480,"=""720575940628113292""",TRUE,"="""""
205961454,583060,214240,83480,583000,214164,83400,22.1499290466309,93,2527458123,3836428693,"=""80645742192064982""","=""80645742192063755""","=""720575940628113292""","=""720575940616046363""",583060,214240,83480,"=""720575940628113292""",FALSE,"="""""
205961501,582268,213816,83760,582164,213904,83720,682.98486328125,141,2527458123,3836428693,"=""80645742192072691""","=""80645742192072709""","=""720575940628113292""","=""720575940616046363""",582268,213816,83760,"=""720575940628113292""",TRUE,"="""""
205961812,583260,213992,83280,583228,214080,83240,566.341552734375,141,3051428650,3836428693,"=""80645742192064927""","=""80645742192063755""","=""720575940632437856""","=""720575940616046363""",583260,213992,83280,"=""720575940632437856""",TRUE,"="""""
205961861,586196,216544,83400,586092,216428,83400,252.878646850586,148,2790402780,3837070077,"=""80716179655720980""","=""80716179655726492""","=""720575940624804248""","=""720575940616046363""",586196,216544,83400,"=""720575940624804248""",TRUE,"="""""
205961887,585844,216400,83480,585952,216336,83480,22.0545349121094,88,2659892065,3837070077,"=""80716179655722310""","=""80716179655726492""","=""720575940610903062""","=""720575940616046363""",585844,216400,83480,"=""720575940610903062""",FALSE,"="""""
205961888,585872,216400,83480,585996,216408,83480,299.748992919922,133,2659892065,3837070077,"=""80716179655722310""","=""80716179655726492""","=""720575940610903062""","=""720575940616046363""",585872,216400,83480,"=""720575940610903062""",FALSE,"="""""
205961904,585868,215660,83520,585776,215716,83520,449.921020507812,146,2528735655,3837070108,"=""80716179655720511""","=""80716179655726328""","=""720575940619059497""","=""720575940616046363""",585868,215660,83520,"=""720575940619059497""",TRUE,"="""""
205961915,585112,215728,83560,585188,215880,83560,358.676971435547,150,2527458123,3837068572,"=""80645810911447011""","=""80645810911546987""","=""720575940628113292""","=""720575940616046363""",585112,215728,83560,"=""720575940628113292""",TRUE,"="""""
205961919,585804,216288,83560,585872,216172,83560,462.193054199219,141,2659892065,3837070077,"=""80716179655740992""","=""80716179655726492""","=""720575940610903062""","=""720575940616046363""",585804,216288,83560,"=""720575940610903062""",TRUE,"="""""
205961931,585680,216156,83680,585644,216056,83600,20.1201114654541,143,0,3837068572,"=""80716179655711504""","=""80716179655727879""","=""720575940610903062""","=""720575940616046363""",585680,216156,83680,"=""720575940610903062""",FALSE,"="""""
205961943,585676,216152,83680,585680,216060,83680,240.304168701172,144,2659892065,0,"=""80716179655711504""","=""80716179655729252""","=""720575940610903062""","=""720575940616046363""",585676,216152,83680,"=""720575940610903062""",TRUE,"="""""
206058842,582656,212312,82400,582568,212380,82440,10.5046405792236,139,2528097786,2268992762,"=""80645742125631228""","=""80645742125682428""","=""720575940628115084""","=""720575940616046363""",582656,212312,82400,"=""720575940628115084""",TRUE,"="""""
206058855,582752,212612,82720,582656,212600,82720,332.696105957031,148,2528097786,2268992762,"=""80645742191976195""","=""80645742191979170""","=""720575940628115084""","=""720575940616046363""",582752,212612,82720,"=""720575940628115084""",FALSE,"="""""
206058928,582868,212504,82920,582724,212456,82920,27.786678314209,130,2528097786,3836428621,"=""80645742192040898""","=""80645742191979170""","=""720575940628115084""","=""720575940616046363""",582868,212504,82920,"=""720575940628115084""",TRUE,"="""""
206058953,582888,212516,83000,582768,212500,82960,444.129333496094,77,2528097786,3836428621,"=""80645742191977559""","=""80645742191979170""","=""720575940628115084""","=""720575940616046363""",582888,212516,83000,"=""720575940628115084""",TRUE,"="""""
206059073,582980,212712,83560,582988,212620,83560,367.368103027344,139,2527458123,3836428723,"=""80645742192066017""","=""80645742192068651""","=""720575940628113292""","=""720575940616046363""",582980,212712,83560,"=""720575940628113292""",TRUE,"="""""
206059290,584760,211264,82480,584648,211168,82440,1338.439453125,142,2791042904,2268992762,"=""80645673406153616""","=""80645673406162202""","=""720575940629359076""","=""720575940616046363""",584760,211264,82480,"=""720575940629359076""",TRUE,"="""""
206059323,584260,211596,82640,584188,211488,82680,411.151031494141,153,2791042904,2268992762,"=""80645742191968777""","=""80645742192003415""","=""720575940629359076""","=""720575940616046363""",584260,211596,82640,"=""720575940629359076""",FALSE,"="""""
206059384,584124,211736,82800,584012,211664,82800,440.864776611328,144,2791042904,2268992762,"=""80645742191970258""","=""80645742192036366""","=""720575940629359076""","=""720575940616046363""",584124,211736,82800,"=""720575940629359076""",TRUE,"="""""
