bodyid,pre,post,status,statusLabel,cropped,name,type,cellBodyFiber,voxels,soma,total.outputs,total.inputs,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.outputs.density,total.inputs.density,axon.outputs.density,dend.outputs.density,axon.inputs.density,dend.inputs.density,total.length,axon.length,dend.length,pd.length,segregation_index,overlap_locality
5812991476,516,1487,Traced,Roughly traced,FALSE,AVL04h_pct(aSP29b)(AVL04)_R,AVL04h_pct,lVLPT1,1524287465,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2681.164393,778.5268346,1500.61814,255.109171,0.250495053,NA
1478487190,616,911,Traced,Roughly traced,FALSE,AVL11t_pct(AVL11)_R,AVL11t_pct,aAVLP1,1044898659,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2993.51984,1098.088322,1771.124616,72.07920004,0.041753427,NA
1719958920,90,173,Traced,Roughly traced,FALSE,AVL04v_b_pct(AVL04)_R,AVL04v_b_pct,lVLPT1,240556282,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,997.0982685,280.3511456,606.6245614,48.95469784,0.031446833,NA
1719958881,72,170,Traced,Roughly traced,FALSE,AVL04v_c_pct(AVL04)_R,AVL04v_c_pct,lVLPT1,274621224,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,918.8733317,179.6621063,426.2684569,219.6873611,0.086787472,NA
5813020585,300,919,Traced,Traced,FALSE,R3p_b(ring)(AVM07)_R,R3p_b,igL2,755950895,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1190.921182,718.5455577,276.7037475,84.20112558,0.037993341,NA
1231044615,704,3390,Traced,Roughly traced,FALSE,AVM07v_pct(AVM07)_R,AVM07v_pct,igL2,1343451606,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5050.845655,743.5332091,3920.874575,150.1739542,0.880163502,NA
1351515422,160,792,Traced,Roughly traced,FALSE,FQ6_a_C8_R,FQ6_a,PDM01,298930995,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1262.242013,764.4433688,291.7887127,24.66472608,0.000350665,0.262554753
5813054821,75,162,Traced,Roughly traced,FALSE,AVL04u_b_pct(AVL04)_R,AVL04u_b_pct,lVLPT1,258581427,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,850.6685309,229.1180162,337.4901375,198.4570219,0.37791688,NA
1418186940,375,838,Traced,Roughly traced,FALSE,AVL04f_pct(AVL04)_R,AVL04f_pct,lVLPT1,867757626,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2165.656642,922.7328663,919.426589,204.015885,0.09188592,NA
1597493900,446,1488,Traced,Roughly traced,FALSE,AVL04i_pct(aSP29c)(AVL04)_R,AVL04i_pct,lVLPT1,1293536204,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3000.82686,840.6657986,1902.584516,183.3740731,0.453376797,4.78E-78
1357088989,402,917,Traced,Roughly traced,FALSE,AVL08d_pct(AVL08)_R,AVL08d_pct,AEF2,702756550,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2506.027025,592.2858918,1793.994426,57.52836779,0.04713256,NA
1291690199,217,618,Traced,Roughly traced,FALSE,AVL05w_a_pct(AVL05)_R,AVL05w_a_pct,aVLPT2,527812853,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1700.485713,888.2021462,575.0228485,78.23277358,0.002049564,NA
1932816628,103,363,Traced,Roughly traced,FALSE,AVL04or_pct(AVL04)_R,AVL04or_pct,lVLPT1,357878143,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1414.926682,257.231439,779.5119689,258.517357,0.129035578,0.052427251
5813069528,827,1031,Traced,Roughly traced,FALSE,LT51(AVL04)_R,LT51,lVLPT1,1974753653,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2749.678094,1089.138072,1210.143609,269.8234265,0.373469894,NA
1727535075,124,437,Traced,Roughly traced,FALSE,AVL04u_a_pct(AVL04)_R,AVL04u_a_pct,lVLPT1,387198032,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1536.267836,226.4887176,876.5511846,311.0740749,0.074219027,NA
1261229600,634,2940,Traced,Roughly traced,FALSE,LT51(aSP29a)(AVL04)_R,LT51,lVLPT1,2082290403,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3466.240299,950.2174727,2164.043827,228.6919248,0.396304243,NA
5812996052,368,609,Traced,Roughly traced,FALSE,NA,NA,NA,676930651,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1270.128867,813.626341,347.5376915,77.37962249,0.01472436,NA
5813022932,776,3780,Traced,Roughly traced,FALSE,NA,NA,NA,2599145733,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4931.794586,4349.9015,250.2482817,99.59836411,0.06380601,NA
5813069020,569,1804,Traced,Roughly traced,FALSE,AVL04h_pct(aSP29b)(AVL04)_R,AVL04h_pct,lVLPT1,1683525343,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3102.173239,954.8207105,1808.40731,232.6934184,0.442154189,NA
1719958827,88,196,Traced,Roughly traced,FALSE,AVL04v_e_pct(AVL04)_R,AVL04v_e_pct,lVLPT1,283212256,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1038.787364,350.5352584,561.1983854,44.79294446,0.026525596,NA
1504393350,171,469,Traced,Roughly traced,FALSE,AVL04z_pct(AVL04)_R,AVL04z_pct,lVLPT1,407028439,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1498.072676,131.5237657,991.2877934,288.6986606,0.06374311,NA
1261290537,261,811,Traced,Roughly traced,FALSE,AVL07w_pct(AVL07)_R,AVL07w_pct,LEA1,578233681,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1929.308165,1400.583794,359.2883018,44.90649772,0.003593624,NA
1504730162,177,288,Traced,Roughly traced,FALSE,AVL04s_a_pct(AVL04)_R,AVL04s_a_pct,lVLPT1,452241207,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1209.369594,162.1219873,779.8817592,184.6265625,0.193274863,NA
1326075032,73,184,Traced,Roughly traced,FALSE,AVL04c_pct(AVL04)_R,AVL04c_pct,lVLPT1,258220466,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1042.839465,264.4306467,489.0853384,182.2594772,0.495293928,NA
2027609500,67,177,Traced,Roughly traced,FALSE,AVL04r_pct(AVL04)_R,AVL04r_pct,lVLPT1,210929105,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1072.764918,114.0843806,660.1764194,227.9843957,0.13096893,NA
1230190016,109,300,Traced,Roughly traced,FALSE,LC9,LC9,NA,346665499,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,750.2239978,279.3810245,267.2925843,175.0336057,0.00116117,NA
5812988643,129,343,Traced,Roughly traced,FALSE,AVL09b_pct(AVL09)_R,AVL09b_pct,aVLPT1,319923989,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1202.237353,193.4574646,750.5662048,121.9977775,0.127705662,NA
1284779082,25,12,Traced,Roughly traced,FALSE,LC20,LC20,NA,22738136,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,144.8287005,6.264352811,39.7785494,9.359427869,0.023447674,NA
1294082002,250,793,Traced,Traced,FALSE,R1_b(ring)(AVM07)_R,R1_b,igL2,515920224,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1183.59364,533.4681311,461.4280651,104.9769972,0.169370703,NA
1406241498,472,869,Traced,Roughly traced,FALSE,NA,NA,NA,962661068,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2991.803875,1355.846312,1365.295038,106.3732142,0.362210979,NA
1288267063,89,119,Traced,Roughly traced,FALSE,LC9(PLBDL3)_R,LC9,NA,190378925,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,749.765781,212.1842461,205.1690223,253.1749156,0.15291153,7.30E-45
1571712309,1058,2695,Traced,Roughly traced,FALSE,(AVM19)_L,NA,NA,2660342043,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5632.153253,1411.200086,3846.033052,171.0973064,0.21522303,NA
5812988568,75,211,Traced,Roughly traced,FALSE,LC9,LC9,NA,241047225,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,638.5643296,207.1555524,163.6746553,208.6409434,0.000237731,NA
1325799415,90,460,Traced,Roughly traced,FALSE,AVL01ln_pct(AVL01)_R,AVL01ln_pct,aVLPT3,428171961,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1420.498866,254.6999699,972.9648261,72.02973897,0.682351338,NA
1435835226,599,1955,Traced,Roughly traced,FALSE,NA,NA,NA,847591003,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3626.510349,731.1715553,2700.731645,46.42394743,0.000489845,NA
1282507669,258,896,Traced,Roughly traced,FALSE,NA,NA,NA,565283839,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2360.161909,516.0990717,1722.970327,95.44598053,0.539144429,NA
1314747047,243,421,Traced,Roughly traced,FALSE,PVL02x_pct(PVL02)_R,PVL02x_pct,PVF1,391295709,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1308.901594,450.4914368,683.9555707,70.75324202,0.005100476,NA
5813045346,318,695,Traced,Roughly traced,FALSE,PVM08j_pct(PVM08)_R,PVM08j_pct,pCF5,731509874,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1630.518926,508.2081029,979.1054591,49.43847686,0.587155176,1.08E-20
5813037910,70,143,Traced,Roughly traced,FALSE,PDM26c_pct(PDM26)_R,PDM26c_pct,iPB6,438903728,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1047.003482,97.84403624,706.9815753,113.0062869,0.367468321,NA
1434798830,204,682,Traced,Roughly traced,FALSE,(PVF4)_R,NA,NA,441208266,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1964.323639,1352.9182,416.0934677,47.86587985,0.000576854,NA
5813011591,892,2065,Traced,Traced,FALSE,AVM08oa_pct(AVM08)_R,AVM08oa_pct,aVT1,2270410675,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4164.447168,904.8408052,2945.684679,90.15307053,0.49174166,NA
1375983936,383,961,Traced,Roughly traced,FALSE,PVM06i_a_pct(PVM06)_R,PVM06i_a_pct,PSF3,754341771,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2781.004451,689.0406359,1903.892894,70.12489968,0.471511194,NA
5813033971,128,144,Traced,Roughly traced,FALSE,(PVM10)_L,NA,NA,385610491,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1008.768118,309.3442528,269.1767983,87.09398444,0.002740593,NA
5812989300,178,163,Traced,Roughly traced,FALSE,(PVM10)_L,NA,NA,369651019,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1065.103821,538.1244107,155.6539392,127.0961772,4.07E-05,0.000297439
1343395439,271,648,Traced,Roughly traced,FALSE,LPLC4(PVL01)_R,LPLC4,PLBDL1,462077559,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1382.992142,338.6081764,874.5911599,71.12216783,0.175154566,NA
